000	It is good to students to have a part-time job.	“good to”に人を続けると「人に親切な」という意味が強まります。「人のために良い」という意味を表す最適な前置詞を辞書で調べてみましょう。	3:3
001	He bought three apples to me yesterday.	"give モノ to 人"の場合は正しいですが、"buy"の時は変わってきます。辞書で調べてみましょう。	4:4
002	The strongest of the species that survive, is most adaptable change.	"adaptable"は形容詞なので、「順応可能なモノ」となります。「～に順応可能」となる用法を調べてみましょう。	9:10
003	He asked me to money.	"ask 人 to V"で、「人にVをお願いする」となります。「モノを要求する」となる前置詞を調べてみましょう。	3:3
004	Please finish the homework on the time I come back.	「by the time...」で、「...するまでには」という意味になります。この文の内容に合うか考えてみましょう。	4:4
005	The next committee meeting will be held the 7th of January.	日にちを表す際に用いる前置詞を調べてみましょう。	6:7
006	She is putting a lot of posters to the walls of her room.	位置を表す前置詞（in,on,by,at)の、それぞれの用法について調べてみましょう。	7:7
007	The girl for the red sweat suit runs around the track every morning.	衣服などの身に着ける際に使用する前置詞を調べてみましょう。	2:2
008	He didn't want to go to being a sportsman.	「go 前置詞 doing」で、この文の内容にあう前置詞を調べてみましょう。	5:5
009	He keeps sharing the room his friend.	「share」は、「AをBと分かち合う」と使いたい時に、どのような用法になるか調べてみましょう。	4:5
